20,20,,grid size
25,,,number of carrots
4,6,,carrot locations
5,4,,""""
6,3,,""""
3,2,,""""
2,9,,""""
4,7,,""""
2,4,,""""
6,2,,""""
10,15,,""""
15,16,,""""
16,18,,""""
14,13,,""""
6,12,,""""
8,11,,""""
13,10,,""""
19,15,,""""
13,13,,""""
14,5,,""""
14,3,,""""
15,7,,""""
16,8,,""""
3,9,,""""
5,14,,""""
8,14,,""""
9,15,,""""
1,,,trail visibility
0,,,compass vis
1,,,timer vis
0,,,carrot count visibility
1,,,plucks left visibility
2,3,,starting point
3,,,starting orientation